gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
11,54.8631,33.97804,36.720165,58.291405,58.897793,45.33521,26.46106,34.167892,46.88197,48.01021,56768.055,37275.332,39834.65,59967.81,60533.77,56921.547,37334.75,39949.492,60012.027,60556.31,14,8,9,22,29
12,51.156506,29.754864,34.61856,58.018753,58.53914,43.04915,24.90464,31.362791,46.59996,48.81986,53308.57,33333.703,37873.152,59713.332,60199.023,53345.215,33539.42,37941.855,59757.414,60233.94,15,9,9,27,30
13,50.82793,19.182337,33.613907,57.5999,58.291397,42.57139,13.2695,29.00101,46.489574,47.540855,53001.9,23466.008,36935.473,59322.402,59967.8,53058.41,23569.875,36970.742,59371.277,60004.117,16,9,9,28,31
14,48.542393,18.807707,31.624401,57.26263,57.729073,42.098194,13.185069,25.053347,46.329666,46.599987,50868.73,23116.355,35078.6,59007.617,59442.965,50939.477,23189.213,35132.973,59071.562,59473.113,18,9,11,30,32
15,45.91873,16.231998,31.624401,57.252357,57.72896,39.480907,10.86233,24.90464,46.326527,46.599987,48419.98,20712.36,35078.6,58998.03,59442.855,48469.418,20797.059,35132.973,59066.316,59469.457,18,9,11,31,36
16,43.858597,10.095653,18.80773,57.215305,57.255623,38.22278,7.669015,14.805035,46.325844,47.485123,46497.188,14985.1045,23116.375,58963.45,59001.074,46582.727,15079.671,23188.152,59015.848,59069.016,20,11,12,36,48
17,42.59072,9.7483425,16.059286,57.182346,57.240917,38.123703,7.1678057,11.170287,46.18233,46.49792,45313.836,14660.948,20551.162,58932.688,58987.355,45372.51,14736.057,20671.773,58994.7,59035.605,22,11,12,43,56
18,40.808495,8.913127,12.610033,57.181583,57.230045,37.112694,6.327191,9.573418,46.180336,46.49792,43650.42,13881.413,17331.86,58931.977,58977.203,43903.637,13944.778,17382.604,58986.45,59032.684,23,12,13,46,64
19,39.744843,7.062666,9.7483425,57.15378,57.2032,36.655598,6.327191,8.0636835,46.309635,49.167343,42657.684,12154.316,14660.948,58906.027,58952.15,42796.66,12204.227,14736.057,58976.74,59015.41,27,12,14,48,64
20,38.24888,6.721922,9.7483425,57.15076,57.190884,35.267433,6.327191,8.0637045,46.17378,46.928986,41261.45,11836.289,14660.948,58903.203,58940.656,41340.637,11920.793,14736.057,58973.754,58994.684,27,12,15,49,61
21,34.12316,6.096695,8.025234,57.117943,57.190884,33.299694,4.8253427,6.7687674,46.09757,46.309635,37410.78,11252.744,13052.714,58872.574,58940.656,37529.36,11355.997,13139.6045,58972.156,58994.684,28,13,16,54,70
22,32.91481,5.416426,6.590052,55.86076,57.182346,30.215263,4.748842,6.492452,46.09757,46.222054,36282.984,10617.826,11713.211,57699.203,58932.688,36354.836,10978.6045,11838.678,57741.285,58989.395,34,15,16,65,75
23,29.77592,4.55381,6.0966926,51.11505,57.181583,27.635674,3.8809566,6.2252235,43.051506,46.17378,33353.355,9812.718,11252.742,53269.88,58931.977,33641.9,9924.676,11360.552,53343.188,58987.125,37,15,19,72,87
24,28.79857,3.9530654,5.1322083,49.931652,57.181583,27.395765,3.5690353,4.825341,46.09757,46.309635,32441.16,9252.023,10352.557,52165.37,58931.977,32497.346,9456.188,10491.588,52222.137,58986.45,40,16,19,75,86
25,19.149847,3.919415,4.806458,48.46764,55.11444,22.233353,3.4157038,4.8080754,46.09757,50.016186,23435.688,9220.615,10048.522,50798.96,57002.64,23501.33,9429.917,10199.0,50866.297,57100.9,45,17,23,76,91
26,15.348447,3.876956,4.7475066,41.928013,48.46764,15.2252245,3.3331962,4.7103114,46.09757,57.10903,19887.71,9180.987,9993.501,44695.31,50798.96,20039.053,9394.865,10160.032,44809.68,50866.297,50,19,24,83,91
27,13.033275,3.0276706,4.266005,41.34859,42.90497,12.975993,3.1779623,4.3911204,38.828365,46.222054,17726.885,8388.321,9544.1,44154.51,45607.133,17959.684,8608.922,9856.289,44313.406,45722.152,51,23,27,85,93
28,11.041503,2.6639585,4.0519733,40.222286,42.63867,11.75092,3.1621995,3.9362082,37.453327,41.99295,15867.897,8048.8564,9344.337,43103.297,45358.59,15992.515,8600.284,9730.564,43288.57,45443.09,53,27,30,85,93
29,9.927715,2.641918,3.9801748,40.137405,41.553295,10.008878,3.1573284,3.5936706,36.800465,40.17347,14828.362,8028.285,9277.325,43024.074,44345.574,15157.494,8381.791,9423.447,43123.363,44489.098,54,27,28,85,91
30,8.997042,2.5819683,3.7004201,39.83749,41.553295,9.029857,3.1572993,3.6844306,38.116432,50.110435,13959.733,7972.332,9016.221,42744.152,44345.574,14210.194,8279.067,9199.658,42892.82,44489.098,58,27,31,88,93
31,7.776332,2.5819683,3.5129504,38.756306,41.553295,7.7862415,3.0571637,3.274491,37.333954,119.709526,12820.404,7972.332,8841.249,41735.047,44345.574,12978.306,8263.236,9002.275,41938.88,44489.098,63,27,37,92,96
32,7.0725985,2.5819683,3.3959816,38.481747,40.148296,7.1919007,2.9890513,3.2218554,36.643387,83.82457,12163.587,7972.332,8732.078,41478.793,43034.24,12316.309,8263.236,9001.33,41671.625,43117.293,62,27,37,89,96
33,6.590052,2.5819683,3.2342036,38.3833,40.148296,6.617171,2.9890513,3.1737845,35.55627,42.798042,11713.211,7972.332,8581.085,41386.91,43034.24,11838.678,8263.236,8841.9,41671.625,43117.293,63,28,37,93,96
34,5.979592,2.2864082,2.9966109,31.321436,40.04209,6.7687674,2.4532628,3.1503081,35.32045,83.845535,11143.447,7696.476,8359.332,34795.836,42935.113,11604.469,8243.108,8693.739,34870.047,43117.293,69,29,40,92,95
35,5.7613583,1.9717352,2.6399872,28.979952,40.04209,5.5495048,2.4066718,3.0254102,34.94313,48.945316,10939.763,7402.7812,8026.4834,32610.45,42935.113,11316.84,7817.041,8311.181,32859.73,43117.293,69,37,41,92,96
36,5.2323294,1.8081332,2.5914166,28.979965,38.56193,5.2204456,2.3423336,2.9531324,33.62203,36.454697,10446.002,7250.086,7981.1504,32610.46,41553.633,10676.922,7616.0283,8268.053,32844.535,41827.31,70,37,42,92,97
37,4.923777,1.8044482,2.5573637,20.76696,38.56193,4.968735,2.054966,2.6438005,33.62203,36.496117,10158.0205,7246.647,7949.368,24944.992,41553.633,10359.508,7615.429,8255.627,25178.492,41827.31,71,40,45,94,97
38,4.923777,1.989329,2.2689054,19.330463,37.555855,4.8464,1.9590535,2.491218,23.920158,35.581318,10158.0205,7419.202,7680.14,23604.262,40614.63,10364.415,7615.429,8190.782,23768.648,40687.223,71,40,48,92,96
39,4.8938785,1.7627534,2.2373052,16.512041,34.59409,4.5914702,1.8765187,2.491218,23.744785,36.496117,10130.115,7207.7314,7650.6465,20973.734,37850.312,10278.468,7425.4053,8125.2964,21216.8,38127.754,72,43,51,91,97
40,4.4860506,1.7627534,2.2255387,12.522887,20.664684,4.1532474,1.8617305,2.491218,17.227703,35.165695,9749.476,7207.7314,7639.6646,17250.523,24849.535,10089.174,7425.4053,7907.783,17420.855,24988.494,75,48,54,94,96
41,4.200799,1.5519035,1.8993014,10.001765,15.451027,4.221515,1.6145633,2.1837683,15.277344,53.611874,9483.24,7010.9385,7335.1763,14897.476,19983.453,9882.761,7331.746,7609.692,15050.714,20479.557,77,48,55,95,97
42,4.0687823,1.471675,1.8880471,8.971982,12.895254,4.033219,1.6273891,2.0151818,11.576205,56.925316,9360.025,6936.0586,7324.6724,13936.345,17598.066,9755.099,7225.673,7605.1216,14143.014,17896.615,75,48,54,94,97
43,3.9664793,1.3373404,1.7180488,6.9487085,12.691906,4.0181885,1.6369321,1.8635597,9.756767,56.92433,9264.543,6810.6797,7166.0073,12047.957,17408.273,9603.995,7056.4526,7566.1187,12723.665,17698.268,75,48,54,94,95
44,3.771435,1.3373404,1.7180488,6.8362412,12.539046,3.8497593,1.5453315,1.8299289,9.682901,35.581104,9082.501,6810.6797,7166.0073,11942.986,17265.605,9442.218,7027.3164,7423.3496,12392.192,17557.537,76,48,54,96,97
45,3.7077487,1.3373404,1.6233314,6.836226,11.281712,3.7248087,1.5453315,1.7674781,9.329278,34.897358,9023.061,6810.6797,7077.6045,11942.973,16092.093,9383.837,7027.3164,7330.0503,12251.296,16391.58,76,51,54,95,96
46,3.5448334,1.1799806,1.5519035,6.836226,10.973045,3.5870912,1.4916424,1.6652422,9.329695,35.581104,8871.006,6663.8105,7010.9385,11942.973,15804.004,9283.661,6965.368,7253.27,12187.244,16097.652,76,51,54,95,99
47,3.5331702,1.1713636,1.5519035,6.186952,10.7075815,3.5762932,1.4966917,1.6598078,9.329695,35.055973,8860.121,6655.7676,7010.9385,11336.984,15556.238,9092.466,6937.226,7253.27,12108.854,15850.941,76,51,54,95,98
48,3.1972861,1.1732315,1.5519035,5.9709105,10.383778,3.4430275,1.4747348,1.6627584,9.329695,34.772415,8546.629,6657.511,7010.9385,11135.345,15254.021,8824.093,6947.412,7253.27,11841.825,15522.654,76,51,53,95,96
49,3.1033013,1.1181853,1.5464004,5.6730204,10.001765,3.4203978,1.4747348,1.6244972,9.139286,34.77186,8458.91,6606.135,7005.8022,10857.314,14897.476,8690.99,6885.452,7253.27,11027.974,15160.666,76,46,52,95,99
50,2.874605,1.0823092,1.4062128,5.6103625,10.001765,3.375439,1.4690602,1.5464633,9.192353,30.254114,8245.46,6572.6504,6874.9604,10798.834,14897.476,8567.005,6803.063,7100.754,11027.974,15148.595,76,48,54,95,99
51,2.819842,1.0737011,1.4062128,5.603991,9.916594,3.2897987,1.4747348,1.6013355,9.329695,29.910564,8194.348,6564.616,6874.9604,10792.887,14817.982,8480.214,6803.063,7104.7754,10960.093,15032.927,79,52,55,96,99
52,2.6756945,1.0705763,1.4062128,5.5976853,8.593775,3.1474445,1.4703574,1.6013355,7.9701805,20.61115,8059.81,6561.6997,6874.9604,10787.002,13583.352,8372.467,6789.4346,7098.753,10958.66,13928.032,79,53,56,95,97
53,2.6104798,1.0691354,1.2745363,5.5780625,8.523787,3.0043805,1.487295,1.6013355,7.858575,20.224009,7998.9434,6560.355,6752.0625,10768.6875,13518.029,8292.023,6789.4346,7027.3164,10952.815,13875.73,78,52,54,94,98
54,2.5753915,1.0604289,1.1608312,5.0983305,8.421282,2.9374413,1.4137104,1.5188845,8.670129,22.072802,7966.194,6552.2285,6645.9375,10320.9375,13422.357,8202.713,6772.6143,6952.999,10792.638,13792.868,78,53,56,96,98
55,2.5291286,1.0330013,1.1608312,5.0519714,6.205423,2.9280539,1.4193057,1.53496,7.4863677,30.88631,7923.015,6526.63,6645.9375,10277.668,11354.223,8193.343,6758.248,6952.999,10466.261,11578.311,78,52,55,95,97
56,2.417898,1.0227879,1.1608312,5.03952,5.950976,2.885193,1.4043407,1.5115136,6.7433643,28.927118,7819.1997,6517.097,6645.9375,10266.047,11116.739,8193.343,6749.9004,6952.999,10465.062,11333.908,79,51,55,94,96
57,2.417898,1.0201633,1.1608312,5.0347247,5.8355103,2.885193,1.4043018,1.5473135,5.5831785,25.595913,7819.1997,6514.6475,6645.9375,10261.571,11008.971,8193.343,6749.9004,6932.771,10465.062,11219.693,80,51,55,93,97
58,2.3665836,1.0201607,1.1608312,4.849906,5.5661597,2.796865,1.4042972,1.5738126,5.400937,20.568861,7771.3066,6514.645,6645.9375,10089.074,10757.578,8078.9727,6749.9004,6932.771,10360.153,10954.639,79,51,55,93,97
59,2.285281,1.0201607,1.1387962,4.77655,5.5661407,2.64093,1.4042972,1.5820991,5.400573,20.289486,7695.424,6514.645,6625.3716,10020.608,10757.56,8017.1724,6749.9004,6874.018,10264.478,10951.083,77,51,54,93,96
60,2.285281,1.0201607,1.120227,4.3524394,5.173852,2.6301138,1.4042972,1.5669795,5.2825484,20.233263,7695.424,6514.645,6608.04,9624.771,10391.424,7942.2437,6749.9004,6848.082,9751.717,10562.589,77,51,54,91,96
61,2.2500372,1.0181401,1.1202228,4.3524094,5.173728,2.5450025,1.4042972,1.5646996,5.148154,14.142048,7662.53,6512.7593,6608.036,9624.744,10391.309,7934.564,6749.9004,6844.2656,9746.26,10567.976,77,51,54,92,97
62,2.2259052,1.0169432,1.1202214,4.2518735,5.098333,2.477646,1.4042972,1.545293,5.0347114,14.142048,7640.007,6511.642,6608.035,9530.91,10320.939,7876.965,6749.9004,6842.737,9750.963,10465.062,76,48,51,91,95
63,2.208821,1.0169438,1.1202077,4.1418447,5.098333,2.477646,1.3950908,1.5643015,4.7868576,14.142048,7624.0615,6511.6426,6608.0225,9428.217,10320.939,7854.6416,6746.4834,6842.667,9685.211,10465.062,74,49,52,92,96
64,2.208821,1.0099236,1.1181836,3.8526032,4.964638,2.4011292,1.3923331,1.545293,4.6585155,14.142048,7624.0615,6505.0903,6606.1333,9158.258,10196.157,7854.6416,6725.899,6834.2437,9676.014,10399.578,74,49,52,91,96
65,2.0712147,1.0074481,1.1156708,3.8266928,4.964638,2.466121,1.4202228,1.5455525,4.7868576,13.957329,7495.629,6502.78,6603.788,9134.075,10196.157,7754.6514,6718.222,6831.5767,9278.201,10399.578,73,49,51,91,96
66,1.9805759,1.0074394,1.1073728,3.7869034,4.7460127,2.466121,1.3947922,1.5455525,4.4402194,5.0133142,7411.0327,6502.772,6596.043,9096.938,9992.107,7653.6396,6708.0166,6800.8643,9278.201,10127.629,74,50,52,89,94
67,1.894154,0.9811086,1.0604289,3.72495,4.3522286,2.1593552,1.3023561,1.457505,4.4402003,5.0133142,7330.372,6478.1963,6552.2285,9039.115,9624.575,7601.7964,6697.2607,6771.9126,9273.44,9771.041,73,50,52,91,96
68,1.8596579,0.9811091,1.0074394,3.72495,4.3522286,2.1593552,1.288237,1.403166,4.4291267,5.0133142,7298.176,6478.197,6502.772,9039.115,9624.575,7541.8794,6681.5317,6750.8574,9273.44,9771.041,73,50,52,92,98
69,1.8596579,0.90577817,0.9903281,3.72495,4.284127,2.3205318,1.288237,1.4650394,4.330824,5.0133142,7298.176,6407.888,6486.8013,9039.115,9561.014,7541.8794,6681.5317,6722.008,9273.44,9771.041,74,50,54,92,99
70,1.8596579,0.88702846,0.9903281,3.7736657,4.284127,2.121114,1.2518067,1.403166,4.203619,5.0133142,7298.176,6390.388,6486.8013,9084.583,9561.014,7541.8794,6665.1343,6722.008,9273.44,9771.041,74,50,54,93,99
71,1.8596579,0.8870244,0.97682524,3.7867348,4.284127,2.0794485,1.2392815,1.395248,4.252599,5.0133142,7298.176,6390.385,6474.1987,9096.781,9561.014,7540.69,6665.1343,6722.008,9273.44,9771.041,74,50,54,93,97
72,1.8051503,0.88702095,0.97682524,3.616889,4.284127,2.0726724,1.2392815,1.403166,4.1923833,4.608486,7247.3022,6390.3813,6474.1987,8938.258,9561.014,7540.69,6665.1343,6706.3237,9171.884,9771.041,75,50,57,94,97
73,1.7946861,0.88702095,0.9712763,3.5024912,4.284127,2.0726724,1.2272081,1.3949872,4.1923833,4.608486,7237.5356,6390.3813,6469.0195,8831.486,9561.014,7496.8364,6638.3555,6698.847,9046.748,9771.041,75,50,57,94,97
74,1.7369474,0.88702095,0.96997255,3.4855661,4.2259994,2.0794485,1.2394907,1.3943784,4.1923833,4.5809665,7183.646,6390.3813,6467.8027,8815.69,9506.762,7471.896,6638.3555,6693.783,8995.728,9702.2705,76,50,56,95,97
75,1.7369474,0.81216353,0.94709915,3.2254212,4.2259994,2.0794485,1.2272081,1.3943771,3.7936585,4.5809665,7183.646,6320.5146,6446.454,8572.889,9506.762,7471.896,6611.1113,6681.5317,8889.798,9702.2705,76,50,56,94,98
76,1.7180488,0.79910314,0.94038075,3.2241082,4.2260027,2.0794485,1.2272081,1.4019285,3.7936585,4.5809665,7166.0073,6308.3247,6440.1836,8571.663,9506.764,7469.526,6550.808,6669.9824,8889.798,9693.027,77,50,58,94,98
77,1.7035754,0.79024446,0.93620306,3.209114,4.2260027,2.0794485,1.2182639,1.3799305,3.7936585,4.608486,7152.499,6300.0566,6436.2847,8557.668,9506.764,7470.924,6537.225,6666.554,8840.478,9693.027,77,49,60,95,98
78,1.664872,0.79024446,0.93324715,3.2086906,4.2260027,2.0726724,1.2182664,1.3799305,3.7936585,4.60839,7116.3755,6300.0566,6433.526,8557.273,9506.764,7388.6646,6537.225,6638.3555,8837.215,9693.027,77,47,58,93,97
79,1.6637505,0.79013705,0.9310709,3.2087038,4.2260027,2.0726724,1.218258,1.3799305,3.7936585,4.60839,7115.329,6299.9565,6431.4946,8557.285,9506.764,7388.9326,6535.4653,6638.3555,8867.72,9690.703,77,47,57,91,95
80,1.6637517,0.79013705,0.93105704,2.9909143,3.8001797,2.0794454,1.2073013,1.3456235,3.7936585,4.321459,7115.33,6299.9565,6431.4814,8354.016,9109.33,7361.131,6535.4653,6638.3555,8581.928,9407.982,77,49,57,93,95
81,1.5570514,0.75430566,0.875614,2.9909143,3.5954993,2.0417871,1.2065877,1.3370333,3.7936585,4.577807,7015.743,6266.5137,6379.735,8354.016,8918.295,7334.2476,6535.4653,6620.474,8581.928,9413.708,78,49,58,93,97
82,1.5570471,0.75430566,0.87190413,2.9891217,3.5251036,1.9450284,1.2073013,1.3370333,3.791396,4.281739,7015.7393,6266.5137,6376.2725,8352.342,8852.592,7330.567,6535.4653,6620.474,8549.578,9405.272,77,51,58,94,96
83,1.5048269,0.75430566,0.871894,2.9891217,3.517135,1.9449548,1.2073013,1.2880492,3.6580338,4.2818117,6967.0,6266.5137,6376.2627,8352.342,8845.154,7280.7,6535.4653,6620.474,8549.578,9378.525,79,52,58,93,96
84,1.5022941,0.75430566,0.86416274,2.7704,3.517117,1.9449161,1.2073013,1.2880492,3.6445587,4.2818117,6964.636,6266.5137,6369.047,8148.202,8845.138,7236.5977,6535.4653,6612.898,8330.553,9381.562,79,52,57,91,95
85,1.4877884,0.75430566,0.83375853,2.7678504,3.2238498,1.9040982,1.2073013,1.2561328,3.6312351,4.1842647,6951.0977,6266.5137,6340.67,8145.8223,8571.422,7214.834,6535.4653,6608.8584,8330.553,9067.534,79,52,57,93,95
86,1.4814355,0.75430566,0.8337546,2.7203817,3.156574,1.9449161,1.2073013,1.2561328,3.464746,3.7936585,6945.1685,6266.5137,6340.666,8101.518,8508.631,7162.9297,6535.4653,6598.8486,8286.282,8744.962,79,52,57,93,96
87,1.4382212,0.71937263,0.7998512,2.6735551,3.159127,1.9449161,1.2073013,1.2549022,3.331409,3.7936585,6904.835,6233.9097,6309.023,8057.8135,8511.014,7162.9297,6515.9326,6593.525,8286.282,8744.962,79,52,57,93,95
88,1.4382215,0.71937263,0.80439126,2.6396391,3.1004636,1.974327,1.2073013,1.2752174,3.3302047,4.1842647,6904.835,6233.9097,6313.2603,8026.158,8456.262,7158.8955,6510.015,6554.9746,8270.595,8704.35,78,53,59,93,95
89,1.4714873,0.71937263,0.79901654,2.5618205,3.1003244,1.896574,1.2064737,1.26499,3.1784575,3.7936585,6935.8833,6233.9097,6308.244,7953.5273,8456.131,7158.8955,6493.4927,6553.896,8263.313,8711.067,79,53,59,93,95
90,1.438087,0.71937263,0.79901654,2.5618112,3.1003244,1.8635597,1.2073013,1.2806723,3.325304,3.7936585,6904.7095,6233.9097,6308.244,7953.519,8456.131,7137.36,6496.207,6553.896,8202.713,8711.067,77,56,61,93,95
91,1.4261365,0.71937263,0.7992996,2.5593872,3.1003244,1.8635597,1.2073013,1.2714344,3.325304,3.7936585,6893.5557,6233.9097,6308.508,7951.257,8456.131,7111.3237,6491.591,6542.995,8162.076,8711.067,77,57,61,93,95
92,1.3758513,0.7193726,0.78522635,2.479529,3.100174,1.8199939,1.2057277,1.2724489,3.136908,3.4698193,6846.623,6233.9097,6295.373,7876.722,8455.99,7078.175,6417.8926,6542.995,8087.979,8706.16,79,54,60,93,95
93,1.2638129,0.7193726,0.78522635,2.4494364,2.7678504,1.8142703,1.1939055,1.2719499,3.089952,3.4698193,6742.0537,6233.9097,6295.373,7848.6357,8145.8223,6993.6685,6417.8926,6531.2227,8053.29,8399.544,79,54,60,93,95
94,1.2634355,0.7193726,0.7776918,2.4494364,2.7678504,1.8175735,1.1939055,1.2715775,3.089952,3.4698193,6741.7017,6233.9097,6288.341,7848.6357,8145.8223,6987.7417,6417.8926,6531.2227,8053.29,8399.544,79,54,59,93,95
95,1.2327507,0.7193726,0.7776918,2.4494364,2.7678504,1.8175735,1.1945326,1.2713108,3.089952,3.4698193,6713.0625,6233.9097,6288.341,7848.6357,8145.8223,6968.398,6417.8926,6530.2905,8053.29,8399.544,79,54,59,91,95
96,1.2042084,0.7193726,0.7776918,2.3919346,2.7678504,1.7478842,1.1964085,1.2664723,3.0426207,3.3302047,6686.423,6233.9097,6288.341,7794.9673,8145.8223,6930.376,6417.8926,6530.2905,8037.712,8340.923,77,54,59,91,95
97,1.1787153,0.7193726,0.7776918,2.3762054,2.7678504,1.7568712,1.1964085,1.2657799,3.024662,3.3302047,6662.6294,6233.9097,6288.341,7780.287,8145.8223,6903.6426,6417.8926,6530.2905,8009.6826,8340.923,77,54,59,91,94
98,1.1671505,0.7193726,0.757703,2.374498,2.7678504,1.7556322,1.1939055,1.2640419,3.024662,3.3302047,6651.8354,6233.9097,6269.6846,7778.6934,8145.8223,6889.8193,6417.8926,6530.2905,8007.4355,8340.923,77,54,59,91,95
99,1.1655313,0.6679054,0.74016255,2.374498,2.7678504,1.7423389,1.1939055,1.2348149,3.024662,3.3302047,6650.324,6185.8735,6253.3135,7778.6934,8145.8223,6875.408,6378.4185,6522.989,8007.4355,8340.923,79,55,61,91,94
100,1.1655313,0.6679054,0.74016255,2.374498,2.7678504,1.7525837,1.1939055,1.2637681,3.024662,3.3302047,6650.324,6185.8735,6253.3135,7778.6934,8145.8223,6871.41,6378.4185,6525.9,8007.4355,8340.923,78,55,61,91,94
101,1.1655313,0.6679054,0.7318296,2.296634,2.7678504,1.7524376,1.1939055,1.2534251,3.0426207,3.3302047,6650.324,6185.8735,6245.536,7706.02,8145.8223,6873.641,6378.4185,6503.352,7979.64,8340.923,78,55,61,91,95
102,1.1544544,0.6679054,0.7318296,2.296634,2.7678504,1.7523338,1.1939055,1.2534251,3.0426207,3.3302047,6639.986,6185.8735,6245.536,7706.02,8145.8223,6855.8047,6378.4185,6503.352,7979.64,8340.923,77,55,61,89,94
103,1.154452,0.6598806,0.72994995,2.296634,2.7678504,1.7522538,1.1939055,1.22484,3.0426207,3.3302047,6639.9834,6178.384,6243.7817,7706.02,8145.8223,6856.2007,6372.961,6470.366,7979.64,8340.923,77,55,61,91,95
104,1.1461082,0.65988016,0.72994995,2.296634,2.7678504,1.7445242,1.1939055,1.22484,3.0416439,3.3302047,6632.1963,6178.3833,6243.7817,7706.02,8145.8223,6856.2007,6372.961,6464.1436,7976.64,8340.923,77,57,61,91,95
105,1.1427255,0.6291632,0.7278372,2.28845,2.7678504,1.7058903,1.1496222,1.2234234,3.0081573,3.3302047,6629.039,6149.714,6241.8096,7698.382,8145.8223,6839.4204,6372.961,6458.503,7891.23,8340.923,77,57,61,92,95
106,1.1427255,0.62322867,0.7278273,2.28845,2.7678504,1.6975629,1.1499982,1.2224848,3.0079403,3.3166194,6629.039,6144.1753,6241.801,7698.382,8145.8223,6839.4204,6372.961,6458.503,7888.368,8340.923,75,57,61,92,95
107,1.1427255,0.62322867,0.7278273,2.28845,2.6395814,1.7123377,1.1343158,1.2224848,3.007781,3.315354,6629.039,6144.1753,6241.801,7698.382,8026.1045,6839.4204,6372.9585,6458.503,7886.868,8155.6494,77,57,61,91,95
108,1.1382753,0.6152131,0.7278273,2.28845,2.6395814,1.7060344,1.120838,1.2198052,2.9602292,3.3144577,6624.8853,6136.694,6241.801,7698.382,8026.1045,6834.674,6351.6426,6458.503,7886.868,8155.6494,75,57,61,90,95
109,1.1382753,0.592114,0.7278273,2.175907,2.4912665,1.6884979,1.0990677,1.2224848,2.929989,3.3138268,6624.8853,6115.135,6241.801,7593.3413,7887.6772,6834.674,6331.9243,6458.503,7859.266,8130.6406,76,55,61,91,95
110,1.1382753,0.592114,0.7278273,2.175907,2.4753542,1.7065495,1.0990677,1.1963501,2.929989,3.3133805,6624.8853,6115.135,6241.801,7593.3413,7872.8257,6834.674,6329.0337,6458.503,7859.266,8129.14,77,55,59,91,95
111,1.1382753,0.592096,0.7278273,2.175907,2.4722013,1.7123377,1.0990677,1.1963501,2.929989,3.3133805,6624.8853,6115.118,6241.801,7593.3413,7869.883,6834.674,6329.0337,6438.579,7859.266,8087.077,77,55,59,91,95
112,1.1382753,0.58880705,0.69349736,2.175907,2.4722013,1.6885623,1.0691155,1.1963501,2.929989,4.3119726,6624.8853,6112.0483,6209.7593,7593.3413,7869.883,6834.674,6329.0337,6441.066,7856.563,8087.077,78,55,60,89,93
113,1.1382753,0.58880705,0.6934243,2.175907,2.4722013,1.6885623,1.0691155,1.1963501,2.929989,4.3119726,6624.8853,6112.0483,6209.6914,7593.3413,7869.883,6834.674,6326.102,6437.9414,7856.563,8087.077,77,55,60,90,93
